,Company,Correlation
72,"['AWK', 'AEP']",0.45
73,"['AWK', 'AMT']",0.15
74,"['AWK', 'AMZN']",0.1
75,"['AWK', 'APD']",0.15
76,"['AWK', 'ASML']",0.1
77,"['AWK', 'AVGO']",0.1
78,"['BA', 'AAPL']",0.15
79,"['BA', 'ABBV']",0.1
80,"['BA', 'ABT']",0.1
81,"['BA', 'ACN']",0.15
82,"['BA', 'ADBE']",0.1
83,"['BA', 'ADP']",0.1
84,"['BA', 'AEP']",0.1
85,"['BA', 'AMT']",0.15
86,"['BA', 'AMZN']",0.15
87,"['BA', 'APD']",0.15
88,"['BA', 'ASML']",0.15
89,"['BA', 'AVGO']",0.15
90,"['BA', 'AWK']",-0.15
91,"['BABA', 'AAPL']",0.15
92,"['BABA', 'ABBV']",-0.15
93,"['BABA', 'ABT']",-0.15
94,"['BABA', 'ACN']",0.15
95,"['BABA', 'ADBE']",0.15
96,"['BABA', 'ADP']",-0.15
97,"['BABA', 'AEP']",-0.15
98,"['BABA', 'AMT']",-0.15
99,"['BABA', 'AMZN']",0.45
100,"['BABA', 'APD']",-0.15
101,"['BABA', 'ASML']",0.15
102,"['BABA', 'AVGO']",0.15
103,"['BABA', 'AWK']",-0.15
104,"['BABA', 'BA']",-0.15
105,"['BAC', 'AAPL']",0.15
106,"['BAC', 'ABBV']",0.1
107,"['BAC', 'ABT']",0.1
108,"['BAC', 'ACN']",0.1
109,"['BAC', 'ADBE']",-0.15
110,"['BAC', 'ADP']",0.1
111,"['BAC', 'AEP']",0.15
112,"['BAC', 'AMT']",0.1
113,"['BAC', 'AMZN']",0.1
114,"['BAC', 'APD']",0.1
115,"['BAC', 'ASML']",0.1
116,"['BAC', 'AVGO']",0.1
117,"['BAC', 'AWK']",0.1
118,"['BAC', 'BA']",0.1
119,"['BAC', 'BABA']",-0.22
120,"['BBL', 'AAPL']",0.1
121,"['BBL', 'ABBV']",0.15
122,"['BBL', 'ABT']",0.1
123,"['BBL', 'ACN']",0.15
124,"['BBL', 'ADBE']",-0.1
125,"['BBL', 'ADP']",0.1
126,"['BBL', 'AEP']",0.1
127,"['BBL', 'AMT']",0.1
128,"['BBL', 'AMZN']",0.15
129,"['BBL', 'APD']",0.15
130,"['BBL', 'ASML']",0.15
131,"['BBL', 'AVGO']",0.15
132,"['BBL', 'AWK']",0.1
133,"['BBL', 'BA']",0.15
134,"['BBL', 'BABA']",0.1
135,"['BBL', 'BAC']",0.1
136,"['BHP', 'AAPL']",0.1
137,"['BHP', 'ABBV']",0.1
138,"['BHP', 'ABT']",-0.15
139,"['BHP', 'ACN']",0.1
140,"['BHP', 'ADBE']",-0.15
141,"['BHP', 'ADP']",0.1
142,"['BHP', 'AEP']",0.1
143,"['BHP', 'AMT']",0.1
144,"['BHP', 'AMZN']",0.1
145,"['BHP', 'APD']",0.15
146,"['BHP', 'ASML']",0.15
147,"['BHP', 'AVGO']",0.1
148,"['BHP', 'AWK']",0.1
149,"['BHP', 'BA']",0.15
150,"['BHP', 'BABA']",0.1
151,"['BHP', 'BAC']",0.1
152,"['BHP', 'BBL']",0.85
153,"['BP', 'AAPL']",0.1
154,"['BP', 'ABBV']",0.1
155,"['BP', 'ABT']",-0.15
156,"['BP', 'ACN']",0.1
157,"['BP', 'ADBE']",-0.15
158,"['BP', 'ADP']",-0.15
159,"['BP', 'AEP']",0.15
160,"['BP', 'AMT']",-0.15
161,"['BP', 'AMZN']",-0.15
162,"['BP', 'APD']",0.15
163,"['BP', 'ASML']",-0.15
164,"['BP', 'AVGO']",-0.15
165,"['BP', 'AWK']",0.1
166,"['BP', 'BA']",0.1
167,"['BP', 'BABA']",-0.3
168,"['BP', 'BAC']",0.15
169,"['BP', 'BBL']",0.45
170,"['BP', 'BHP']",0.45
171,"['BRK-A', 'AAPL']",0.4
172,"['BRK-A', 'ABBV']",0.15
173,"['BRK-A', 'ABT']",0.1
174,"['BRK-A', 'ACN']",0.15
175,"['BRK-A', 'ADBE']",0.15
176,"['BRK-A', 'ADP']",0.1
177,"['BRK-A', 'AEP']",0.15
178,"['BRK-A', 'AMT']",0.1
179,"['BRK-A', 'AMZN']",0.3
180,"['BRK-A', 'APD']",0.1
181,"['BRK-A', 'ASML']",0.15
182,"['BRK-A', 'AVGO']",0.15
183,"['BRK-A', 'AWK']",0.1
184,"['BRK-A', 'BA']",0.15
185,"['BRK-A', 'BABA']",-0.3
186,"['BRK-A', 'BAC']",0.65
187,"['BRK-A', 'BBL']",0.1
188,"['BRK-A', 'BHP']",0.15
189,"['BRK-A', 'BP']",0.1
190,"['C-PJ', 'AAPL']",0.1
191,"['C-PJ', 'ABBV']",0.1
192,"['C-PJ', 'ABT']",-0.15
193,"['C-PJ', 'ACN']",0.1
194,"['C-PJ', 'ADBE']",0.15
195,"['C-PJ', 'ADP']",0.1
196,"['C-PJ', 'AEP']",0.1
197,"['C-PJ', 'AMT']",0.1
198,"['C-PJ', 'AMZN']",0.1
199,"['C-PJ', 'APD']",0.15
200,"['C-PJ', 'ASML']",0.15
201,"['C-PJ', 'AVGO']",0.15
202,"['C-PJ', 'AWK']",0.1
203,"['C-PJ', 'BA']",-0.15
204,"['C-PJ', 'BABA']",-0.15
205,"['C-PJ', 'BAC']",-0.15
206,"['C-PJ', 'BBL']",-0.15
207,"['C-PJ', 'BHP']",0.1
208,"['C-PJ', 'BP']",0.1
209,"['C-PJ', 'BRK-A']",0.1
210,"['CAT', 'AAPL']",0.15
211,"['CAT', 'ABBV']",0.1
212,"['CAT', 'ABT']",0.1
213,"['CAT', 'ACN']",0.15
214,"['CAT', 'ADBE']",-0.15
215,"['CAT', 'ADP']",0.1
216,"['CAT', 'AEP']",0.1
217,"['CAT', 'AMT']",-0.15
218,"['CAT', 'AMZN']",0.15
219,"['CAT', 'APD']",0.15
220,"['CAT', 'ASML']",0.15
221,"['CAT', 'AVGO']",0.15
222,"['CAT', 'AWK']",0.1
223,"['CAT', 'BA']",0.15
224,"['CAT', 'BABA']",-0.3
225,"['CAT', 'BAC']",0.15
226,"['CAT', 'BBL']",0.1
227,"['CAT', 'BHP']",0.15
228,"['CAT', 'BP']",0.15
229,"['CAT', 'BRK-A']",0.15
230,"['CAT', 'C-PJ']",-0.15
231,"['CCI', 'AAPL']",0.1
232,"['CCI', 'ABBV']",0.1
233,"['CCI', 'ABT']",0.1
234,"['CCI', 'ACN']",0.15
235,"['CCI', 'ADBE']",0.15
236,"['CCI', 'ADP']",0.15
237,"['CCI', 'AEP']",0.15
238,"['CCI', 'AMT']",0.65
239,"['CCI', 'AMZN']",0.15
240,"['CCI', 'APD']",0.15
241,"['CCI', 'ASML']",0.1
242,"['CCI', 'AVGO']",0.15
243,"['CCI', 'AWK']",0.1
244,"['CCI', 'BA']",0.1
245,"['CCI', 'BABA']",-0.15
246,"['CCI', 'BAC']",0.1
247,"['CCI', 'BBL']",-0.15
248,"['CCI', 'BHP']",0.1
249,"['CCI', 'BP']",0.1
250,"['CCI', 'BRK-A']",0.1
251,"['CCI', 'C-PJ']",-0.15
252,"['CCI', 'CAT']",0.15
253,"['CHTR', 'AAPL']",0.15
254,"['CHTR', 'ABBV']",0.1
255,"['CHTR', 'ABT']",-0.15
256,"['CHTR', 'ACN']",0.1
257,"['CHTR', 'ADBE']",0.15
258,"['CHTR', 'ADP']",0.1
259,"['CHTR', 'AEP']",0.1
260,"['CHTR', 'AMT']",0.15
261,"['CHTR', 'AMZN']",0.15
262,"['CHTR', 'APD']",0.1
263,"['CHTR', 'ASML']",0.1
264,"['CHTR', 'AVGO']",0.15
265,"['CHTR', 'AWK']",0.1
266,"['CHTR', 'BA']",-0.15
267,"['CHTR', 'BABA']",-0.3
268,"['CHTR', 'BAC']",0.1
269,"['CHTR', 'BBL']",-0.15
270,"['CHTR', 'BHP']",-0.15
271,"['CHTR', 'BP']",-0.15
272,"['CHTR', 'BRK-A']",0.1
273,"['CHTR', 'C-PJ']",-0.15
274,"['CHTR', 'CAT']",-0.15
275,"['CHTR', 'CCI']",0.15
276,"['CMCSA', 'AAPL']",0.3
277,"['CMCSA', 'ABBV']",0.1
278,"['CMCSA', 'ABT']",0.1
279,"['CMCSA', 'ACN']",0.15
280,"['CMCSA', 'ADBE']",0.3
281,"['CMCSA', 'ADP']",0.15
282,"['CMCSA', 'AEP']",0.1
283,"['CMCSA', 'AMT']",0.15
284,"['CMCSA', 'AMZN']",0.3
285,"['CMCSA', 'APD']",0.1
286,"['CMCSA', 'ASML']",0.15
287,"['CMCSA', 'AVGO']",0.3
288,"['CMCSA', 'AWK']",0.1
289,"['CMCSA', 'BA']",-0.15
290,"['CMCSA', 'BABA']",0.1
291,"['CMCSA', 'BAC']",0.1
292,"['CMCSA', 'BBL']",0.1
293,"['CMCSA', 'BHP']",0.1
294,"['CMCSA', 'BP']",0.1
295,"['CMCSA', 'BRK-A']",0.1
296,"['CMCSA', 'C-PJ']",-0.15
297,"['CMCSA', 'CAT']",0.1
298,"['CMCSA', 'CCI']",0.15
299,"['CMCSA', 'CHTR']",0.45
300,"['COP', 'AAPL']",0.1
301,"['COP', 'ABBV']",0.15
302,"['COP', 'ABT']",0.1
303,"['COP', 'ACN']",0.1
304,"['COP', 'ADBE']",-0.15
305,"['COP', 'ADP']",0.1
306,"['COP', 'AEP']",0.1
307,"['COP', 'AMT']",-0.15
308,"['COP', 'AMZN']",0.1
309,"['COP', 'APD']",0.1
310,"['COP', 'ASML']",-0.15
311,"['COP', 'AVGO']",0.1
312,"['COP', 'AWK']",0.1
313,"['COP', 'BA']",-0.15
314,"['COP', 'BABA']",-0.3
315,"['COP', 'BAC']",0.15
316,"['COP', 'BBL']",0.15
317,"['COP', 'BHP']",0.15
318,"['COP', 'BP']",0.65
319,"['COP', 'BRK-A']",0.15
320,"['COP', 'C-PJ']",-0.15
321,"['COP', 'CAT']",0.15
322,"['COP', 'CCI']",0.15
323,"['COP', 'CHTR']",-0.15
324,"['COP', 'CMCSA']",0.1
325,"['COST', 'AAPL']",0.3
326,"['COST', 'ABBV']",0.1
327,"['COST', 'ABT']",0.15
328,"['COST', 'ACN']",0.15
329,"['COST', 'ADBE']",0.15
330,"['COST', 'ADP']",0.15
331,"['COST', 'AEP']",0.15
332,"['COST', 'AMT']",0.15
333,"['COST', 'AMZN']",0.45
334,"['COST', 'APD']",0.15
335,"['COST', 'ASML']",0.15
336,"['COST', 'AVGO']",0.15
337,"['COST', 'AWK']",0.1
338,"['COST', 'BA']",0.1
339,"['COST', 'BABA']",0.1
340,"['COST', 'BAC']",0.15
341,"['COST', 'BBL']",0.1
342,"['COST', 'BHP']",0.1
343,"['COST', 'BP']",-0.15
344,"['COST', 'BRK-A']",0.15
345,"['COST', 'C-PJ']",0.15
346,"['COST', 'CAT']",0.15
347,"['COST', 'CCI']",0.15
348,"['COST', 'CHTR']",0.15
349,"['COST', 'CMCSA']",0.15
350,"['COST', 'COP']",0.1
351,"['CSCO', 'AAPL']",0.3
352,"['CSCO', 'ABBV']",0.1
353,"['CSCO', 'ABT']",0.15
354,"['CSCO', 'ACN']",0.3
355,"['CSCO', 'ADBE']",0.3
356,"['CSCO', 'ADP']",0.15
357,"['CSCO', 'AEP']",0.15
358,"['CSCO', 'AMT']",0.15
359,"['CSCO', 'AMZN']",0.15
360,"['CSCO', 'APD']",0.1
361,"['CSCO', 'ASML']",0.3
362,"['CSCO', 'AVGO']",0.45
363,"['CSCO', 'AWK']",0.1
364,"['CSCO', 'BA']",-0.15
365,"['CSCO', 'BABA']",-0.15
366,"['CSCO', 'BAC']",0.1
367,"['CSCO', 'BBL']",-0.15
368,"['CSCO', 'BHP']",0.1
369,"['CSCO', 'BP']",-0.15
370,"['CSCO', 'BRK-A']",0.1
371,"['CSCO', 'C-PJ']",-0.15
372,"['CSCO', 'CAT']",0.1
373,"['CSCO', 'CCI']",0.1
374,"['CSCO', 'CHTR']",0.1
375,"['CSCO', 'CMCSA']",0.3
376,"['CSCO', 'COP']",-0.15
377,"['CSCO', 'COST']",0.15
378,"['CTA-PB', 'AAPL']",0.1
379,"['CTA-PB', 'ABBV']",-0.15
380,"['CTA-PB', 'ABT']",0.1
381,"['CTA-PB', 'ACN']",0.1
382,"['CTA-PB', 'ADBE']",-0.15
383,"['CTA-PB', 'ADP']",0.1
384,"['CTA-PB', 'AEP']",0.1
385,"['CTA-PB', 'AMT']",0.15
386,"['CTA-PB', 'AMZN']",-0.15
387,"['CTA-PB', 'APD']",0.1
388,"['CTA-PB', 'ASML']",0.1
389,"['CTA-PB', 'AVGO']",0.1
390,"['CTA-PB', 'AWK']",0.1
391,"['CTA-PB', 'BA']",-0.15
392,"['CTA-PB', 'BABA']",-0.15
393,"['CTA-PB', 'BAC']",0.1
394,"['CTA-PB', 'BBL']",-0.15
395,"['CTA-PB', 'BHP']",0.1
396,"['CTA-PB', 'BP']",0.1
397,"['CTA-PB', 'BRK-A']",0.1
398,"['CTA-PB', 'C-PJ']",0.15
399,"['CTA-PB', 'CAT']",0.1
400,"['CTA-PB', 'CCI']",0.1
401,"['CTA-PB', 'CHTR']",0.1
402,"['CTA-PB', 'CMCSA']",-0.15
403,"['CTA-PB', 'COP']",0.1
404,"['CTA-PB', 'COST']",0.1
405,"['CTA-PB', 'CSCO']",0.1
406,"['CVX', 'AAPL']",0.1
407,"['CVX', 'ABBV']",0.1
408,"['CVX', 'ABT']",-0.15
409,"['CVX', 'ACN']",0.1
410,"['CVX', 'ADBE']",-0.15
411,"['CVX', 'ADP']",0.1
412,"['CVX', 'AEP']",0.1
413,"['CVX', 'AMT']",-0.15
414,"['CVX', 'AMZN']",-0.15
415,"['CVX', 'APD']",0.15
416,"['CVX', 'ASML']",-0.15
417,"['CVX', 'AVGO']",0.1
418,"['CVX', 'AWK']",0.1
419,"['CVX', 'BA']",0.1
420,"['CVX', 'BABA']",-0.15
421,"['CVX', 'BAC']",0.15
422,"['CVX', 'BBL']",0.15
423,"['CVX', 'BHP']",0.3
424,"['CVX', 'BP']",0.85
425,"['CVX', 'BRK-A']",0.1
426,"['CVX', 'C-PJ']",0.1
427,"['CVX', 'CAT']",0.15
428,"['CVX', 'CCI']",0.1
429,"['CVX', 'CHTR']",-0.15
430,"['CVX', 'CMCSA']",0.1
431,"['CVX', 'COP']",0.78
432,"['CVX', 'COST']",0.1
433,"['CVX', 'CSCO']",0.1
434,"['CVX', 'CTA-PB']",-0.15
435,"['D', 'AAPL']",0.1
436,"['D', 'ABBV']",0.1
437,"['D', 'ABT']",0.1
438,"['D', 'ACN']",0.15
439,"['D', 'ADBE']",0.15
440,"['D', 'ADP']",0.15
441,"['D', 'AEP']",0.15
442,"['D', 'AMT']",0.1
443,"['D', 'AMZN']",-0.15
444,"['D', 'APD']",0.15
445,"['D', 'ASML']",0.1
446,"['D', 'AVGO']",0.15
447,"['D', 'AWK']",0.1
448,"['D', 'BA']",0.15
449,"['D', 'BABA']",-0.3
450,"['D', 'BAC']",0.1
451,"['D', 'BBL']",-0.15
452,"['D', 'BHP']",0.15
453,"['D', 'BP']",0.1
454,"['D', 'BRK-A']",0.1
455,"['D', 'C-PJ']",-0.15
456,"['D', 'CAT']",-0.15
457,"['D', 'CCI']",0.15
458,"['D', 'CHTR']",0.1
459,"['D', 'CMCSA']",0.1
460,"['D', 'COP']",0.1
461,"['D', 'COST']",0.15
462,"['D', 'CSCO']",0.15
463,"['D', 'CTA-PB']",0.1
464,"['D', 'CVX']",-0.15
465,"['DE', 'AAPL']",0.1
466,"['DE', 'ABBV']",0.1
467,"['DE', 'ABT']",0.15
468,"['DE', 'ACN']",0.15
469,"['DE', 'ADBE']",0.15
470,"['DE', 'ADP']",0.15
471,"['DE', 'AEP']",0.15
472,"['DE', 'AMT']",-0.15
473,"['DE', 'AMZN']",0.15
474,"['DE', 'APD']",0.15
475,"['DE', 'ASML']",0.1
476,"['DE', 'AVGO']",0.1
477,"['DE', 'AWK']",0.1
478,"['DE', 'BA']",0.15
479,"['DE', 'BABA']",-0.15
480,"['DE', 'BAC']",0.15
481,"['DE', 'BBL']",0.1
482,"['DE', 'BHP']",0.1
483,"['DE', 'BP']",0.1
484,"['DE', 'BRK-A']",0.15
485,"['DE', 'C-PJ']",-0.15
486,"['DE', 'CAT']",0.4
487,"['DE', 'CCI']",0.1
488,"['DE', 'CHTR']",0.1
489,"['DE', 'CMCSA']",0.15
490,"['DE', 'COP']",-0.15
491,"['DE', 'COST']",0.15
492,"['DE', 'CSCO']",0.1
493,"['DE', 'CTA-PB']",-0.15
494,"['DE', 'CVX']",0.1
495,"['DE', 'D']",0.15
496,"['DEO', 'AAPL']",0.1
497,"['DEO', 'ABBV']",0.1
498,"['DEO', 'ABT']",0.1
499,"['DEO', 'ACN']",0.15
500,"['DEO', 'ADBE']",0.1
501,"['DEO', 'ADP']",0.15
502,"['DEO', 'AEP']",0.1
503,"['DEO', 'AMT']",0.1
504,"['DEO', 'AMZN']",0.15
505,"['DEO', 'APD']",0.1
506,"['DEO', 'ASML']",0.1
507,"['DEO', 'AVGO']",0.1
508,"['DEO', 'AWK']",0.1
509,"['DEO', 'BA']",0.1
510,"['DEO', 'BABA']",-0.15
511,"['DEO', 'BAC']",0.1
512,"['DEO', 'BBL']",0.1
513,"['DEO', 'BHP']",0.1
514,"['DEO', 'BP']",0.15
515,"['DEO', 'BRK-A']",0.1
516,"['DEO', 'C-PJ']",0.1
517,"['DEO', 'CAT']",0.15
518,"['DEO', 'CCI']",0.1
519,"['DEO', 'CHTR']",-0.15
520,"['DEO', 'CMCSA']",0.1
521,"['DEO', 'COP']",0.1
522,"['DEO', 'COST']",0.15
523,"['DEO', 'CSCO']",0.1
524,"['DEO', 'CTA-PB']",0.1
525,"['DEO', 'CVX']",0.1
526,"['DEO', 'D']",0.15
527,"['DEO', 'DE']",0.15
528,"['DHR', 'AAPL']",0.3
529,"['DHR', 'ABBV']",0.15
530,"['DHR', 'ABT']",0.45
531,"['DHR', 'ACN']",0.15
532,"['DHR', 'ADBE']",0.15
533,"['DHR', 'ADP']",0.15
534,"['DHR', 'AEP']",0.15
535,"['DHR', 'AMT']",0.15
536,"['DHR', 'AMZN']",0.15
537,"['DHR', 'APD']",0.15
538,"['DHR', 'ASML']",0.3
539,"['DHR', 'AVGO']",0.3
540,"['DHR', 'AWK']",0.1
541,"['DHR', 'BA']",0.15
542,"['DHR', 'BABA']",0.1
543,"['DHR', 'BAC']",0.1
544,"['DHR', 'BBL']",0.1
545,"['DHR', 'BHP']",0.1
546,"['DHR', 'BP']",0.1
547,"['DHR', 'BRK-A']",0.15
548,"['DHR', 'C-PJ']",-0.15
549,"['DHR', 'CAT']",0.15
550,"['DHR', 'CCI']",0.15
551,"['DHR', 'CHTR']",0.1
552,"['DHR', 'CMCSA']",0.15
553,"['DHR', 'COP']",-0.15
554,"['DHR', 'COST']",0.15
555,"['DHR', 'CSCO']",0.15
556,"['DHR', 'CTA-PB']",0.1
557,"['DHR', 'CVX']",-0.15
558,"['DHR', 'D']",0.15
559,"['DHR', 'DE']",0.15
560,"['DHR', 'DEO']",0.15
561,"['DIS', 'AAPL']",0.3
562,"['DIS', 'ABBV']",-0.15
563,"['DIS', 'ABT']",0.1
564,"['DIS', 'ACN']",0.15
565,"['DIS', 'ADBE']",0.15
566,"['DIS', 'ADP']",0.1
567,"['DIS', 'AEP']",0.1
568,"['DIS', 'AMT']",0.1
569,"['DIS', 'AMZN']",0.3
570,"['DIS', 'APD']",-0.15
571,"['DIS', 'ASML']",0.1
572,"['DIS', 'AVGO']",0.15
573,"['DIS', 'AWK']",-0.15
574,"['DIS', 'BA']",0.15
575,"['DIS', 'BABA']",0.1
576,"['DIS', 'BAC']",0.1
577,"['DIS', 'BBL']",-0.15
578,"['DIS', 'BHP']",0.1
579,"['DIS', 'BP']",-0.15
580,"['DIS', 'BRK-A']",0.15
581,"['DIS', 'C-PJ']",-0.15
582,"['DIS', 'CAT']",0.1
583,"['DIS', 'CCI']",0.1
584,"['DIS', 'CHTR']",0.15
585,"['DIS', 'CMCSA']",0.55
586,"['DIS', 'COP']",-0.15
587,"['DIS', 'COST']",0.15
588,"['DIS', 'CSCO']",0.1
589,"['DIS', 'CTA-PB']",-0.15
590,"['DIS', 'CVX']",-0.15
591,"['DIS', 'D']",0.15
592,"['DIS', 'DE']",0.1
593,"['DIS', 'DEO']",0.15
594,"['DIS', 'DHR']",0.15
595,"['DLR', 'AAPL']",0.1
596,"['DLR', 'ABBV']",0.1
597,"['DLR', 'ABT']",0.1
598,"['DLR', 'ACN']",0.15
599,"['DLR', 'ADBE']",0.15
600,"['DLR', 'ADP']",0.1
601,"['DLR', 'AEP']",0.1
602,"['DLR', 'AMT']",0.3
603,"['DLR', 'AMZN']",0.3
604,"['DLR', 'APD']",0.1
605,"['DLR', 'ASML']",0.15
606,"['DLR', 'AVGO']",0.15
607,"['DLR', 'AWK']",0.1
608,"['DLR', 'BA']",-0.15
609,"['DLR', 'BABA']",-0.15
610,"['DLR', 'BAC']",0.1
611,"['DLR', 'BBL']",-0.15
612,"['DLR', 'BHP']",-0.15
613,"['DLR', 'BP']",0.1
614,"['DLR', 'BRK-A']",0.15
615,"['DLR', 'C-PJ']",-0.15
616,"['DLR', 'CAT']",0.1
617,"['DLR', 'CCI']",0.45
618,"['DLR', 'CHTR']",0.1
619,"['DLR', 'CMCSA']",0.15
620,"['DLR', 'COP']",-0.15
621,"['DLR', 'COST']",0.15
622,"['DLR', 'CSCO']",0.15
623,"['DLR', 'CTA-PB']",0.15
624,"['DLR', 'CVX']",-0.15
625,"['DLR', 'D']",0.15
626,"['DLR', 'DE']",0.1
627,"['DLR', 'DEO']",-0.15
628,"['DLR', 'DHR']",0.15
629,"['DLR', 'DIS']",-0.15
630,"['DUK', 'AAPL']",0.1
631,"['DUK', 'ABBV']",0.15
632,"['DUK', 'ABT']",0.1
633,"['DUK', 'ACN']",0.1
634,"['DUK', 'ADBE']",-0.15
635,"['DUK', 'ADP']",0.15
636,"['DUK', 'AEP']",0.65
637,"['DUK', 'AMT']",0.15
638,"['DUK', 'AMZN']",0.1
639,"['DUK', 'APD']",0.15
640,"['DUK', 'ASML']",-0.15
641,"['DUK', 'AVGO']",0.1
642,"['DUK', 'AWK']",0.15
643,"['DUK', 'BA']",-0.15
644,"['DUK', 'BABA']",-0.15
645,"['DUK', 'BAC']",0.1
646,"['DUK', 'BBL']",0.1
647,"['DUK', 'BHP']",0.1
648,"['DUK', 'BP']",0.1
649,"['DUK', 'BRK-A']",0.15
650,"['DUK', 'C-PJ']",0.1
651,"['DUK', 'CAT']",0.1
652,"['DUK', 'CCI']",0.15
653,"['DUK', 'CHTR']",0.1
654,"['DUK', 'CMCSA']",0.1
655,"['DUK', 'COP']",0.1
656,"['DUK', 'COST']",0.15
657,"['DUK', 'CSCO']",0.1
658,"['DUK', 'CTA-PB']",0.1
659,"['DUK', 'CVX']",0.1
660,"['DUK', 'D']",0.15
661,"['DUK', 'DE']",0.1
662,"['DUK', 'DEO']",0.1
663,"['DUK', 'DHR']",0.1
664,"['DUK', 'DIS']",-0.15
665,"['DUK', 'DLR']",0.1
666,"['ECL', 'AAPL']",0.15
667,"['ECL', 'ABBV']",0.15
668,"['ECL', 'ABT']",0.15
669,"['ECL', 'ACN']",0.15
670,"['ECL', 'ADBE']",0.15
671,"['ECL', 'ADP']",0.15
672,"['ECL', 'AEP']",0.15
673,"['ECL', 'AMT']",0.1
674,"['ECL', 'AMZN']",0.15
675,"['ECL', 'APD']",0.3
676,"['ECL', 'ASML']",0.15
677,"['ECL', 'AVGO']",0.15
678,"['ECL', 'AWK']",0.15
679,"['ECL', 'BA']",-0.15
680,"['ECL', 'BABA']",-0.15
681,"['ECL', 'BAC']",0.1
682,"['ECL', 'BBL']",0.1
683,"['ECL', 'BHP']",0.1
684,"['ECL', 'BP']",0.1
685,"['ECL', 'BRK-A']",0.15
686,"['ECL', 'C-PJ']",0.1
687,"['ECL', 'CAT']",0.1
688,"['ECL', 'CCI']",0.1
689,"['ECL', 'CHTR']",0.1
690,"['ECL', 'CMCSA']",0.1
691,"['ECL', 'COP']",0.15
692,"['ECL', 'COST']",0.3
693,"['ECL', 'CSCO']",0.1
694,"['ECL', 'CTA-PB']",-0.15
695,"['ECL', 'CVX']",0.1
696,"['ECL', 'D']",0.15
697,"['ECL', 'DE']",0.15
698,"['ECL', 'DEO']",0.15
699,"['ECL', 'DHR']",0.3
700,"['ECL', 'DIS']",0.1
701,"['ECL', 'DLR']",0.1
702,"['ECL', 'DUK']",0.1
703,"['EL', 'AAPL']",0.15
704,"['EL', 'ABBV']",0.15
705,"['EL', 'ABT']",0.15
706,"['EL', 'ACN']",0.15
707,"['EL', 'ADBE']",0.15
708,"['EL', 'ADP']",0.15
709,"['EL', 'AEP']",0.15
710,"['EL', 'AMT']",0.1
711,"['EL', 'AMZN']",0.15
712,"['EL', 'APD']",0.15
713,"['EL', 'ASML']",0.15
